lab_code	active	successor	name	short_name	city	country	url
KSU	FALSE		Kyoto Sangyo University			Japan	
Ki(KIEV)	TRUE		(KIEV) Institute of Radio-Geochemistry of the Environment		Kyiv	Ukraine	
L	FALSE		Lamont-Doherty			USA	
LACUFF	TRUE		Radiocarbon Laboratory, Fluminense Federal University	Fluminense	Rio de Janeiro	Brazil	https://lac.uff.br/eng/home/
LAEC	TRUE		Lebanese Atomic Energy Commission (LAEC)			Lebanon	
LAR	FALSE		Liège State University			Belgium	
LE	TRUE		St. Petersburg			Russia	
LEMA	TRUE		Lab. de Espectrometría de Masas con Aceleradores			Mexico	
LIH	TRUE		NCSR Demokritos			Greece	
LJ	FALSE		Scripps (UCSD) La Jolla			USA	
LP	TRUE		Laboratorio de Tritio y Radiocarbono,  National University of La Plata			Argentina	
LTL	TRUE		University of Lecce			Italy	
LU	TRUE		St. Petersburg State University			Russia	
LZ	TRUE		Umweltforschungszentrum  Leipzig-Halle			Germany	
LZU	TRUE		Lanzhou University			China	
Lu	FALSE	LuA	Radiocarbon Dating Laboratory, Lund University		Lund	Sweden	
LuA	FALSE	LuS	Radiocarbon Dating Laboratory, Lund University (AMS)		Lund (AMS)	Sweden	
LuS	TRUE		Radiocarbon Dating Laboratory, Lund University (SSAMS)		Lund (SSAMS)	Sweden	https://www.geology.lu.se/research/laboratories-equipment/radiocarbon-dating-laboratory
Lv	FALSE		Louvain-la-Neuve			Belgium	
Ly	TRUE		University of Lyon			France	
M	FALSE		University of Michigan			USA	
MAG	TRUE		Quaternary Geology			Russia	
MAMS	TRUE		Curt-Engelhorn-Zentrum Archaeom.			Germany	
MC	FALSE		Centre Scientifique			Monaco	
METU	FALSE		Middle East Technical Univ.			Turkey	
MKL	TRUE		Lab. of Absolute Dating			Poland	
MTC	TRUE		University of Tokyo			Japan	
Ma	FALSE		University of Winnepeg			Canada	
N	FALSE		Nishina Memorial			Japan	
NB	NA		Nanjing Museum			China	
NIST	TRUE		National Institute of Standards and Technology			USA	
NPL	FALSE		National Physical Laboratory, Middlesex			England	
NS	FALSE		Nova Scotia Research Foundation			Canada	
NSRL	TRUE		INSTAAR, University of Colorado			USA	
