Id_site,Yacimiento,Localidad,Isla,Unidad geográfica,Latitud,Longitud,Tipo de yacimiento
34,Conchero Arguamul 3,Vallehermoso,La Gomera,Occidental,28.20391,-17.30515,Aire libre / Conchero
35,Costa de Hoya Fría,Santa Cruz de Tenerife,Tenerife,Occidental,28.43544,-16.29247,Cueva
36,Crucitas,Agüimes,Gran Canaria,Oriental,27.905746,-15.411077,Fosa
37,Cuermeja,La Aldea de San Nicolás,Gran Canaria,Oriental,27.9841,-15.80847,Cueva
38,Cueva de Aguadulce,Telde,Gran Canaria,Oriental,27.96344,-15.38429,Cueva
39,Cueva de Arenas (III),Buenavista del Norte,Tenerife,Occidental,28.3721,-16.7021,Cueva
40,Cueva de Huriamen,La Oliva,Fuerteventura,Oriental,28.61888,-13.93029,Cueva
41,Cueva de la Caldera,San Bartolomé,Lanzarote,Oriental,29.0016,-13.5931,Cueva
42,Cueva de la Higuera Cota,Tegueste,Tenerife,Occidental,28.52806,-16.35106,Cueva
43,Cueva de las Palomas,Icod de los Vinos,Tenerife,Occidental,28.36931,-16.72847,Cueva
44,Cueva de los Cabezazos,Tegueste,Tenerife,Occidental,28.52549,-16.34455,Cueva
45,Cueva de los Guinchos,Breña Alta,La Palma,Occidental,28.66372,-17.77232,Cueva
46,Cueva de Villaverde,La Oliva,Fuerteventura,Oriental,28.62084,-13.90915,Cueva
47,Cueva Pintada,Gáldar,Gran Canaria,Oriental,28.14403,-15.65506,Aire libre / poblado
48,Cuevas de Bencomo,La Orotava,Tenerife,Occidental,28.40724,-16.50588,Cueva
50,Cuevas de La Mesa,Tejeda,Gran Canaria,Oriental,27.98193,-15.71401,Cueva
51,Cuevas del Rey,Tejeda,Gran Canaria,Oriental,27.9932,-15.65557,Cueva
52,Don Gaspar,Icod de los Vinos,Tenerife,Occidental,28.36306,-16.72713,Cueva
52,Don Gaspar,Icod de los Vinos,Tenerife,Occidental,28.36306,-16.72713,Cueva
53,Dunas de Maspalomas,San Bartolomé de Tirajana,Gran Canaria,Oriental,27.74152,-15.57595,Aire libre
54,El Agujero / La Guancha,Galdar,Gran Canaria,Oriental,28.15915,-15.66392,Fosa / Cista
55,El Andén del Guaje 1,Valle Gran Rey,La Gomera,Occidental,28.1241,-17.31185,Cueva
56,El Bebedero,Teguise,Lanzarote,Oriental,29.05942,-13.62434,Aire libre
57,El Burrero,Ingenio,Gran Canaria,Oriental,27.91149,-15.38741,Aire libre / poblado
58,El Cabezo de los Toscones,San Sebastián,La Gomera,Occidental,28.08394,-17.15325,Cueva
59,El Chorillo,El Rosario,Tenerife,Occidental,28.41497,-16.33124,Cueva
60,El Hormiguero,Firgas,Gran Canaria,Oriental,28.14067,-15.55574,Cueva
61,El Julan,Tagoror,El Hierro,Occidental,27.707155,-18.0595,Túmulo
62,El Lomito del Medio,San Sebastián,La Gomera,Occidental,28.08553,-17.1492,Cueva
63,El Luchón / Cañada de la Urona,San Sebastián,La Gomera,Occidental,28.08553,-17.1492,Cueva
64,El Masapé,San Juan de la Rambla,Tenerife,Occidental,28.39092,-16.64955,Cueva
